"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786810052621508784","Sat May 04 17:28:08 +0000 2024","2004","For Sale!! Civic Estilo th 93 Mesin kering standart Mesin doble blok asli buat esek2 ada PW sudah EPS Headlamp model Denji Proji headlamp+foglamp by Yoong Motor Surat faktur lgkp Plat Cantik Pajak on Lok Ponorogo Hrg 270 wajib nego keras Spec langkap nya WA aja WA 082139995553 https://t.co/I13z9RkdZw","1786810052621508784","https://pbs.twimg.com/media/GMwGRMtawAAr3t8.jpg","","in","Indonesia - Australia","174","206","244","https://twitter.com/HoldenKlasik/status/1786810052621508784","1391235014","HoldenKlasik"
"1788826310128648455","Fri May 10 07:00:01 +0000 2024","12","SENDIRIAN Morecambe FC klub League Two hanya memiliki satu pemain yang dikontrak utk musim depan bernama Charlie Brown eks penyerang tim muda Chelsea. The Shrimps kini juga tak punya manager dan CEO klub. Ditambah lagi mereka terkena embargo transfer karena masalah pajak. https://t.co/cN1SWbLB1r","1788826310128648455","https://pbs.twimg.com/media/GNLpkmUbAAAXhYO.jpg","","in","Indonesia","0","2","3","https://twitter.com/medioclubID/status/1788826310128648455","2779927232","medioclubID"
"1788716530110521425","Thu May 09 23:43:48 +0000 2024","2","Mau tahu jawabannya untuk balas budi mulai dari tipu2 sampai kelas curang dan culas. Sebuah pemborosan keuangan negara dimana sebagian dari uang itu adalah pajak yang bersumber dari keringat rakyat mengerihkan https://t.co/0j8gEcT6U6","1788716530110521425","https://pbs.twimg.com/ext_tw_video_thumb/1788716427190677504/pu/img/3Ex_9Rxs9R6kW83u.jpg","","in","","0","0","1","https://twitter.com/KowuLaode341884/status/1788716530110521425","1737609156360896512","KowuLaode341884"
"1787245396236144870","Sun May 05 22:18:02 +0000 2024","1743","Pidato kontroversial perwakilan Kongres AS menentang mesin penindas mahasiswa: apakah kita berada di negara polisi atau demokrasi? Jamal Anthony Bowman: Protes adalah hak pelajar; Mereka keberatan mengirimkan uang pajak AS ke Netanyahu utk terus membunuh warga Palestina di Gaza. https://t.co/WvAExV2LFl","1787245396236144870","https://pbs.twimg.com/ext_tw_video_thumb/1787245009978413056/pu/img/njCZh4gM9DHd6dj7.jpg","","in","Yemen","6","6","716","https://twitter.com/SoftWarNews/status/1787245396236144870","2256063276","SoftWarNews"
"1787606168648736906","Mon May 06 22:11:37 +0000 2024","329","Pungutan pajak kian gila2an Karena banyaknya pengusaha yg ngemplang bayar pajak Akhirnya pemerintah memeras rakyat kecil utk bayar pajak https://t.co/TpjIoftjfJ","1787606168648736906","https://pbs.twimg.com/ext_tw_video_thumb/1787606133601144832/pu/img/s-gmDuCc-9bABj6W.jpg","","in","antara ada dan tiada ","6","6","224","https://twitter.com/never_alonely/status/1787606168648736906","1369949963690549248","never_alonely"
"1786020662597018041","Thu May 02 13:11:23 +0000 2024","16","Rakyat Jelata mensubsidi orang Kaya!! Luar binasa Opung LBP. Pengguna kendaraan konvesional ( Tukang ojek dll ) dinaikkan pajak untuk kereta api cepat yg kebanyakan digunakan oleh orang2 kaya/mampu. ================== #GANTARI #MilitanNKRI ️🇲🇨️ https://t.co/49aDHbJ70g","1786020662597018041","https://pbs.twimg.com/ext_tw_video_thumb/1786020619622195200/pu/img/bbYhwKiSHVUmDtQY.jpg","","in","","1","1","7","https://twitter.com/SangKelana__/status/1786020662597018041","1539127251081789440","SangKelana__"
"1788583534611013981","Thu May 09 14:55:19 +0000 2024","1034","Justru yang sering menganggu rakyat itu adalah pemerintah Pajak Dinaikin BBM Dinaikin Tarif2 dan TDL Dinaikin dll... Bukankah itu mengganggu kondisi keuangan rakyat? Faham Kamu?!","1788583534611013981","","","in","Bima Sakti, Bumi, Indonesia","1","14","472","https://twitter.com/abu_waras/status/1788583534611013981","2905814730","abu_waras"
"1787774949001920729","Tue May 07 09:22:17 +0000 2024","12","Prabowo Gibran membentuk BPN. Sumber penerimaan yang dimaksud adalah pajak dan utang. Dua2nya membebani Rakyat. Padahal SDA negara kita bisa hasilkan 4.000 T per tahun kalau tidak dikorupsi Rakyat sejahtera negara bebas utang #GantungAnjingPeking #GantungAnjingPeking https://t.co/YBY4yia6Tw","1787774949001920729","https://pbs.twimg.com/ext_tw_video_thumb/1787774827048394752/pu/img/R7jqZgI5BGZcH1jC.jpg","","in","","0","1","8","https://twitter.com/dancersejati07/status/1787774949001920729","1605747132014637061","dancersejati07"
"1786667549511598376","Sat May 04 08:01:53 +0000 2024","702","Pajak PBB naik nya gak kira2. Rakyat udah pada pinter Kalau naik nya masuk akal yg di bayar Kalau naiknya seperti memeras yg gak di bayar. https://t.co/J2I4oKuERK","1786667549511598376","https://pbs.twimg.com/ext_tw_video_thumb/1786667506326994944/pu/img/nlZJoTt5_0-61rN4.jpg","","in","","26","150","354","https://twitter.com/DS_yantie/status/1786667549511598376","1374686160748830724","DS_yantie"
"1788336503191642465","Wed May 08 22:33:42 +0000 2024","1133","Tapi pak pajak dan bea dan cukai itu bedaaa","1788336503191642465","","","in","DKI Jakarta, Indonesia","6","36","144","https://twitter.com/eDzulfikar/status/1788336503191642465","79852526","eDzulfikar"
"1788830097325310104","Fri May 10 07:15:04 +0000 2024","35","negara emang kadang kaya tukang parkir si suka tiba-tiba dateng terus minta uang ","1788830097325310104","","","in","@fadhilaherynd","0","3","8","https://twitter.com/yudhakhel/status/1788830097325310104","112423941","yudhakhel"
"1788645469150904519","Thu May 09 19:01:25 +0000 2024","3"," Serius nanya..!! bener gak sih ? di Konoha pajak aja bisa gelap Belum tambang dll bisa semua gelap https://t.co/WJWuH32Tw5","1788645469150904519","https://pbs.twimg.com/ext_tw_video_thumb/1788645386594418688/pu/img/af7a-EIJZxjoVCoo.jpg","","in","Osoyoos, British Columbia","0","5","1","https://twitter.com/anaksaayana/status/1788645469150904519","1240275427","anaksaayana"
"1786401398470648165","Fri May 03 14:24:17 +0000 2024","31","Lagi lagi ributin pajak bea masuk barang dari luar negeri Sepasang pasutri ini memilih merobek tas Hermesnya daripada harus membayar pajak sebesar 26 juta https://t.co/o6EIKgn6cr","1786401398470648165","https://pbs.twimg.com/ext_tw_video_thumb/1786401326441914368/pu/img/xcHOOHzCUXy0Cu2c.jpg","","in","antara ada dan tiada ","0","2","24","https://twitter.com/never_alonely/status/1786401398470648165","1369949963690549248","never_alonely"
