"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785142923224567967","Tue Apr 30 03:03:33 +0000 2024","37","STOP BAYAR PAJAK BIAR PENDUKUNG 02 AJA YANG RASAIN BAYAR PAJAK... GAK MASALAH MOTOR SAYA JADI BODONG TOH YANG PUNYA IJAZAH BODONG AMAN AMAN SAJA....‼️ #RevolusiRakyatBelaNKRI #RevolusiRakyatBelaNKRI 🆘🆗 https://t.co/azQE88qgoI","1785142923224567967","https://pbs.twimg.com/ext_tw_video_thumb/1785142658631118848/pu/img/GPKfMnWWPeGOjhW2.jpg","","in","","2","2","22","https://twitter.com/ArdieSuhardi321/status/1785142923224567967","1773641343858024448","ArdieSuhardi321"
"1785235043465752884","Tue Apr 30 09:09:37 +0000 2024","122","Moga dipermudahkan kedalam dan dipersulitkan untuk bebas. Tiga ekor bangsat ini yang jadi punca pesawah menderhaka dan di penjarakan. Tiga ekor bangsat ini puncanya walaun pajak otak berani derhaka pada YDPA. Kemudian acah² pejuang bangsa dan agama sebab nak kutip derma https://t.co/hYXnDeSKXW","1785235043465752884","https://pbs.twimg.com/media/GMZtznkaYAEsby3.jpg","","in","ÜT: 3.118416,102.728032","0","16","31","https://twitter.com/khirariffin/status/1785235043465752884","46863193","khirariffin"
"1785153135859978655","Tue Apr 30 03:44:08 +0000 2024","1778",". . Jinggaaannn Kita susah payah Kerja bayar pajak .. Duitnya dipake buat bayar LC ??!!! Skali Transfer 100 JUTA ??!!! Annyyiinnnggg . . https://t.co/O3d9EiWZBt","1785153135859978655","https://pbs.twimg.com/media/GMYjT3ibYAAUQTJ.jpg","","in","Bermuda Triangle","110","269","831","https://twitter.com/StefanAntonio__/status/1785153135859978655","1529491450605768704","StefanAntonio__"
"1784513917366190456","Sun Apr 28 09:24:07 +0000 2024","10927"," Anies Akan Kejar Pajak 100 Orang Terkaya di Indonesia Because most of them have been granted privileges by negara. https://t.co/FINhM0tr24","1784513917366190456","https://pbs.twimg.com/ext_tw_video_thumb/1784513754803384320/pu/img/-ouixOe4bSNrgHj6.jpg","","in","I’m bubur | Turn on our notifs","66","45","2146","https://twitter.com/aniesbubble/status/1784513917366190456","753119307937280000","aniesbubble"
"1770447575721922825","Wed Mar 20 13:49:30 +0000 2024","17090","Budak korporat jgn lupa melakukan adegan dewasa (baca: lapor SPT). Lupa password akun efilling? Bisa forget password kok etapi lupa efin? Gw kasih tau cara gampang tanpa perlu ke kantor pajak atau telepon cs ngurus EFIN. Pake aplikasi M-Pajak. Gini caranya https://t.co/9Lwy0Gh4NU","1770447575721922825","https://pbs.twimg.com/media/GJHkr_xbcAA3pz4.jpg","","in","Depok","412","254","4656","https://twitter.com/barli_toro/status/1770447575721922825","429583201","barli_toro"
"1785333772264915195","Tue Apr 30 15:41:55 +0000 2024","187","Untuk sekali tampil bayar biduan sekitar Rp 50 hingga Rp 100 juta Ketika Mentan ada acara selalu panggil penyanyi. Uang negara kok dipakai semaunya sendiri. Rakyat yg susah payah bayar pajak pejabatnya malah menari-naridiatas penderitaan rakyat. https://t.co/HRkz77KbDg","1785333772264915195","https://pbs.twimg.com/ext_tw_video_thumb/1785333726542708736/pu/img/6ReqrRsGq5v-9T26.jpg","","in","Indonesia","9","31","126","https://twitter.com/Jumianto_RK/status/1785333772264915195","903306838552092672","Jumianto_RK"
"1785521546968301989","Wed May 01 04:08:04 +0000 2024","44","Jadi dengan banyaknya kasus korupsi/ngemplang pajak di negara ini kamu masih bakalan gampang silau gak ketemu orang yg biaya hidupnya terlihat mewah?","1785521546968301989","","","in","Indonesia","2","17","13","https://twitter.com/ezash/status/1785521546968301989","105080250","ezash"
"1782960149935894946","Wed Apr 24 02:30:00 +0000 2024","6381","Masih ingat Paradise Paper? Paradise Paper merupakan sebuah dokumen keuangan yang mengungkap data keuangan orang-orang kaya di seluruh dunia yang menanamkan investasi di luar negeri untuk mendapat pajak rendah. Prabowo Subianto salah satunya. #UtasMILD #ParadisePaper https://t.co/N5PX3MQAeZ","1782960149935894946","https://pbs.twimg.com/media/GL5YdxBbkAAJmtB.jpg","","in","Indonesia","122","95","1781","https://twitter.com/TirtoID/status/1782960149935894946","4187275698","TirtoID"
"1785198566937616415","Tue Apr 30 06:44:40 +0000 2024","147","Ternyata semua ttg Mukidi banyak palsunya. Hutang 8000 trilyun vs APBN cuma 3000 trilyun. Terus org bisa korupsi 271 trilyun. Smtr beras naik listrik naik dolar naik PAJAK naik. Indonesia tdk sdg baik2 saja spt bacotannya! https://t.co/4veM5rptPq","1785198566937616415","https://pbs.twimg.com/ext_tw_video_thumb/1784743586010951680/pu/img/4-kdd6WzwrNRIJKB.jpg","","in","","1","20","37","https://twitter.com/PartBurungGalak/status/1785198566937616415","160668889","PartBurungGalak"
"1785163083692056676","Tue Apr 30 04:23:40 +0000 2024","1075","Cuma dengan 3 kata sederhana kami minta maaf aja udah cukup sebenernya buat si Prastow itu mitigasi kemarahan pembayar pajak. Ini kan malah defensif fafifu &amp; pasif agresif ngatain warga pada bego ga paham aturan. Lah aturannya belibet gitu.","1785163083692056676","","","in","On the mat.","13","17","408","https://twitter.com/hansdavidian/status/1785163083692056676","125881920","hansdavidian"
"1784403220787556735","Sun Apr 28 02:04:15 +0000 2024","15326","Ada. Stop malakin kelas menengah maksimalkan pendapatan negara dengan memastikan para konglomerat &amp; crazy rich semuanya taat pajak. ","1784403220787556735","","","in","Jakarta","257","562","5816","https://twitter.com/ernestprakasa/status/1784403220787556735","16882261","ernestprakasa"
"1785163706093240696","Tue Apr 30 04:26:08 +0000 2024","760","Lebih parahnya lagi malah nantangin pembayar pajak keplak2an. Yang ditantang orang yg ga bisa berantem pula. Beneran jubir kementrian dengan adab kayak begitu?","1785163706093240696","","","in","On the mat.","2","17","252","https://twitter.com/hansdavidian/status/1785163706093240696","125881920","hansdavidian"
"1785473708473323746","Wed May 01 00:57:59 +0000 2024","247","Holden premier hq 72 V8 253 Matic sehat responsif Ban bfgoodrich 225/65 - 255/60 Velg cragar 7-8 Interior rapi Header AC Dingin Power steering Surat lengkap tembus pajak off dikit Loc : Kediri kota Serius buyer : ️ 082139563494 https://t.co/A6eg2BWshI","1785473708473323746","https://pbs.twimg.com/media/GMdG3bKbAAAxIo7.jpg","","in","Indonesia - Australia","22","28","35","https://twitter.com/HoldenKlasik/status/1785473708473323746","1391235014","HoldenKlasik"
"1784389608857575658","Sun Apr 28 01:10:09 +0000 2024","1107","Tolonglah kita udah bayar pajak masih disuruh capek mikirin hal yang udah ada instansinya untuk mikir. Konyol banget.","1784389608857575658","","","in","at the back of your mind","16","21","523","https://twitter.com/miund/status/1784389608857575658","14567197","miund"
"1552566560543219712","Thu Jul 28 08:08:07 +0000 2022","54937","Sebuah testimoni tentang para pengkhianat bangsa penghisap uang pajak rakyat. https://t.co/RbInFN32BF","1552566560543219712","https://pbs.twimg.com/media/FYvTDwgUcAAIPe_.jpg","","in","","4055","1516","13618","https://twitter.com/VeritasArdentur/status/1552566560543219712","1061986531","VeritasArdentur"
"1784206653136785491","Sat Apr 27 13:03:09 +0000 2024","937","Bahwa Subsidi itu sama sekali tidak membebani APBN karena apa karena secara tidak kita sadar pajak telah melilit kehidupan keseharian kita... https://t.co/V2vT10shNJ","1784206653136785491","https://pbs.twimg.com/ext_tw_video_thumb/1784206595955777536/pu/img/WotVhNS-5WCQKTRe.jpg","","in","","14","18","479","https://twitter.com/Malika6027/status/1784206653136785491","1603593688005115905","Malika6027"
"1784373271116616102","Sun Apr 28 00:05:14 +0000 2024","6506","Udah bayar pajak disuruh mikir juga","1784373271116616102","","","in","Garut Bandung Jakarta","39","106","2690","https://twitter.com/hanmula/status/1784373271116616102","206647684","hanmula"
"1785341598022471697","Tue Apr 30 16:13:01 +0000 2024","204","Pajak mobil motor rumah device game income dll yang gue bayar ke negara Buat orang2 kayak mereka ini. Brengsek sekali emang ","1785341598022471697","","","in","Nomaden","0","3","116","https://twitter.com/dlaffly/status/1785341598022471697","1424088729702912008","dlaffly"
"1784098142759387258","Sat Apr 27 05:51:58 +0000 2024","5980","Zionis pesek: Ngapain masih pake platform X/IG yang pro Zionis? Uninstall appnya dong! Dasar munafik! Lah lu ngapain masih tinggal di Indonesia setaaan? Minggat sana log out dari Indonesia. Jangan lu nikmatin hasil pajak negara yang jelas-jelas pro-Palestina. ","1784098142759387258","","","in","Jakarta, Indonesia","30","162","1676","https://twitter.com/erlanishere/status/1784098142759387258","69561307","erlanishere"
"1783835661243699247","Fri Apr 26 12:28:58 +0000 2024","57","hari hari dientod pajak","1783835661243699247","","","in","","0","5","13","https://twitter.com/small_mofo_Mk2/status/1783835661243699247","1527887262259679232","small_mofo_Mk2"
"1782927180709953970","Wed Apr 24 00:18:59 +0000 2024","631","Knp ya klo gw kritik Jokowi n baby nepo lsg dihujat hati yg iri&amp;dengki pansos tolol sdh bau tanah.. Tny apa sumbangsih gw pd negara? Gw byr pajak masa ga blh kritik AJG!AJeGile! dasar bajer koplak lo! https://t.co/aqvC01TCK5","1782927180709953970","https://pbs.twimg.com/media/GL46z9eb0AAVUuQ.jpg","","in","on screen ","4","80","106","https://twitter.com/dewiirawan13/status/1782927180709953970","307175431","dewiirawan13"
"1785498214290055451","Wed May 01 02:35:21 +0000 2024","3","Orang pajak bea cukai dkk pantes masuk neraka udah malak apa apa dikenakan pajak rakyat kecil yang diperas fak men","1785498214290055451","","","in","Surabaya Gubeng-Gambir","0","2","2","https://twitter.com/Martabakmatcha/status/1785498214290055451","1420188635228295170","Martabakmatcha"
"1783274570562363808","Wed Apr 24 23:19:23 +0000 2024","5366","Untuk yg muslim : ketika non muslim ngutip dr Al kitabnya tentang pemungut pajak rame² pada terpesona. Giliran disodorin dalil shahih dari agamanya sendiri 1001 hujatan berhamburan dr jempolnya. Pantes lu dapet Jokowi 2 periode ditambah Gibran.","1783274570562363808","","","in","إندونيسيا","57","94","1415","https://twitter.com/bullaismine/status/1783274570562363808","335802325","bullaismine"
"1784948490281619923","Mon Apr 29 14:10:57 +0000 2024","308","Tidak diragukan lagi kebaikan hati orang Indonesia bahkan calon pemimpin yg nantinya akan menaikkan pajak menaikkan harga BBM dan TDL serta menyengsarakan mereka saja tetap mereka pilih. Betul gak? https://t.co/rtb0wZ4qqb","1784948490281619923","https://pbs.twimg.com/ext_tw_video_thumb/1784948437873778688/pu/img/x7JCipNK3ggN82Ec.jpg","","in","","8","23","149","https://twitter.com/vanc1Bozz/status/1784948490281619923","1622484956151975937","vanc1Bozz"
