"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1787082343913828708","Sun May 05 11:30:07 +0000 2024","23","Penguasa Udh Mati Gaya. Kedepan Apapun kna Pajak. Bisa yg punya HP pun kna Pajak. Rakyat jdi Korban.. Rakyat jdi Sapi Perahan. Miris Nasib Bangsa ini.","1787082343913828708","","","in","Jakarta Barat, DKI Jakarta","0","1","2","https://twitter.com/Bara_RQ/status/1787082343913828708","1613404169997783040","Bara_RQ"
"1786589606240309410","Sat May 04 03:24:41 +0000 2024","625","@AntoniusCDN @03__nakula @__AnakKolong @denni_sauya @RenaHoston178 @Candra4smara @Urrangawak @Anak__Ogi @kenhans03 @NgkongRoses @FirzaHusainID Coba pejabat2 itu yang lewatnya mungkin pintu khusus... Ditarik pajak gak atas belanja mereka?","1786597790543651169","","AntoniusCDN","in","Songgoriti, East Java","0","8","18","https://twitter.com/Muhayya__/status/1786597790543651169","1404050771637784578","Muhayya__"
"1786372478908162536","Fri May 03 12:29:22 +0000 2024","4","Apa gak ada standar ya? Apa gak ada pengawasan? Apa gak ada penanggungbjawab? Dengar beritanya aja mau muntah barang 6 jt pajak 21 jt..itu GILA...!!!","1786372478908162536","","","in","","1","0","4","https://twitter.com/inyongmanise/status/1786372478908162536","599068868","inyongmanise"
"1788020070779912591","Wed May 08 14:33:44 +0000 2024","2","@Gi_Grey Jokes tolol. Padahal karena pernah kena rugi pas ngirim barang kaum2 males bayar pajak.","1788215713066611071","","Gi_Grey","in","","1","59","1","https://twitter.com/12urribla/status/1788215713066611071","1674063345769480193","12urribla"
"1786333925637517753","Fri May 03 09:56:11 +0000 2024","0","Kena Pajak Rp26 Juta WNI Robek Tas Hermes di Depan Bea &amp; Cukai https://t.co/0o7hhzdMRo","1786333925637517753","","","in","Jakarta","0","0","0","https://twitter.com/BloombergTZ/status/1786333925637517753","1582972008479920129","BloombergTZ"
"1788069737458716892","Wed May 08 04:53:40 +0000 2024","0","Seperti apa kronologinya?Mahasiswa Indonesia didenda pajak Rp 286 juta saat membawa alat penelitian ke Indonesia. Padahal mereka sudah mengantongi izin Kemenristek. https://t.co/FZdzwMZE6U via @tribunnews","1788069737458716892","","","in","Aceh","0","0","0","https://twitter.com/serambinews/status/1788069737458716892","64635651","serambinews"
"1786192904698159605","Fri May 03 00:35:48 +0000 2024","7","Bahkan rakyat di kader Golkar @DPPGolkar pun belum tentu semua setuju apalagi rakyat yg saat ini sdh sangat terbebani dgn segeal kenaikan biaya hidup dan pajak!","1786192904698159605","","","in","Indonesia ","0","3","3","https://twitter.com/SBahriTweet/status/1786192904698159605","949519826363416577","SBahriTweet"
"1788604478381556015","Thu May 09 16:18:32 +0000 2024","0","Sosok Mansur Hidayat Bupati Pemalang Touring Pakai Pelat Bodong dan Telat Pajak Beri Perintah Ini https://t.co/IFUye75bJe via @tribunnews","1788604478381556015","","","in","Medan, Indonesia","0","0","1","https://twitter.com/tribunmedan/status/1788604478381556015","142305302","tribunmedan"
"1785890520520335531","Thu May 02 08:35:11 +0000 2024","33","@snbtfess Kenapa dipotong diskon dulu baru kena pajak? Kenapa ga kena pajak dulu baru potong diskon? Karena harga jual yang dikenakan pajak. Jadi harga yang dibayarkan oleh konsumen yang dikenakan pajak. *PadahalGaAdaYangNanya","1785951154142392696","","snbtfess","in","","0","3","0","https://twitter.com/AkunBkom/status/1785951154142392696","1457899432041586695","AkunBkom"
"1787726781916856639","Tue May 07 06:10:53 +0000 2024","16","Lho koq bisa ?? Katanya; Mayoritas saham Freeport sdh dikuasai. Hilirisasi sdh berbuah hasil. Terus Pajak dinaikkan. TDL dinaikkan. BBM dinaikkan. Beras dinaikkan. Tp sepwmertinya Negara butuh banyak duit ya ?? Emang Negara lg krisis moneter ya ??","1787726781916856639","","","in","Indonesia🇮🇩","0","7","7","https://twitter.com/AdrianvanFlores/status/1787726781916856639","1440683543529619465","AdrianvanFlores"
